review_id,review_text,aspect_term,opinion,aspect,sentiment,review_url
1,"Всем привет!Стать фотографом - это моя детская мечта.Мне всегда очень нравилось фотографировать. Но к сожалению у меня не было фотоаппарата. Я не знала, что такое глубина резкости, исо, выдержка, диафрагма.И вот однажды я поняла, что мечты должны исполняться.Я купила фотоаппарат. Мой первый фотоаппарат Canon EOS RP.Но я поняла, что без помощи профессионалов я не смогу разобраться в настройках фотоаппарата. Всё очень сложно. Поэтому решила записаться на обучение.Первый онлайн курс, который мне попался в интернете - курс Фотограф от онлайн школы Нетология.Скажу честно, я никогда раньше не слышала про эту школу. Но на сайте было написано, у школы есть лицензия и после обучения я получу диплом о профессиональной переподготовке.Поэтому решила рискнуть.Обучение в Нетологии проходит в онлайн формате. Это видеолекции, живые вебинары с преподавателем, разборы самостоятельных работ.В целом мне понравился такой формат обучения. Это удобно. Ты получаешь обратную связь от преподавателя с разбором своих ошибок.Но давайте обо всем по порядку.Курс Фотограф состоит из восьми модулей . Получить доступ к следующему модулю Вы можете только после того, как выполните итоговое домашнее задание и получите зачёт.На мой взгляд это минус, потому что в начале обучения хочешь все и сразу!Итак, рассказываю по порядку:1. Первый модуль посвящён настройкам камеры. Занятия проводит очень талантливый Фотограф Екатерина Разина.Уже на первом вэбинаре Екатерина Разина по полочкам рассказала все, что необходимо знать про настройки камеры, экспозицию, глубину резкости.После каждого занятия мы получали самостоятельные задания.В конце каждого модуля у нас был воркшоп - разбор самостоятельных работ, где преподаватель разбирал наши фотографии, говорил какие есть ошибки и как их исправить. А после после воркшопа была модульная работа.2. Второй модуль был посвящён основным приёмам композиции. Преподаватель Олег Цербаев.Несмотря на то что в этом модуле было очень много важной и полезной информации для меня это была одна из самых неинтересных тем за весь период обучения.Почему? Потому что весть учебный материал был в формате видеолекций. Не было живого общения с преподавателем. А смотреть два часа видеолекцию по основам композиции просто скучно.Кроме этого мне три раза возвращали на доработку модульную работу по композиции. Обидно? Конечно! В какой -то момент я даже хотела написать заявление и отказаться от обучения.Но очень рада, что все-таки решила закончить обучение.Модульную работу по композиции в итоге приняли с четвёртого раза!3. Третий модуль был посвящён работе с постоянным светом. Преподаватель Фотограф Юрий Бессуднов.Здесь я узнала, что свет бывает мягкий и жёсткий, постоянный и импульсный. Вы это знаете? Я не знала.А ещё свет бывает рисующий, моделирующий, заполняющий, фоновый, контровой. Для фотографа это база. Это как таблица умножения. Для человека, который никогда раньше не занимался фотографией это было открытие!Кстати по третьему модулю модульную работу приняли с первого раза без замечаний. Приятно!4. Четвёртый модуль для меня был самым интересным. Он был посвящён работе с импульсным светом.Как я уже рассказала раньше свет бывает постоянный и импульсный.Импульсный свет - это вспышки, которые есть в фотостудии.Не умеешь работать с импульсным светом - не сможешь снимать в студии.В четвёртом модуле Юрий Бессуднов очень подробно рассказывает какие есть импульсные источники света, как с ними работать. Какие есть схемы света. Какую схему использовать в разных ситуациях. Например при съёмке бизнес портрета, бьюти съёмка, съёмка для каталога, творческие съёмки с дымом и с цветными фильтрамиПосле четвёртого модуля у нас было задание сделать съёмку в студии с разными схемами света.И ура! Тоже зачёт с первого раза!После четвёртого модуля у нас была онлайн практика в студии с преподавателем и профессиональной моделью.Для меня это был самый важный и очень интересный этап обучения. За три часа мы отработали разные схемы света и сделали очень много крутых фотографий! Это был очень полезный опыт! Обязательно рекомендую выбирать курс с оффлайн практикой.5. Пятый модуль был посвящён разным жанрам фотографии.Здесь я узнала, что кроме портрета и уличной фотографии есть много других жанров.Например репортаж, пейзажная фотография, свадебная фотография!Я первый раз попробовала снимать футбол и хоккей! И это невероятно круто! Бешеная скорость, эмоции, слезы радости! Забитый гол!И наоборот - съёмка пейзажа. Длинная выдержка. Красивое место. Возможно съёмка на закате или на рассвете. Совсем другие эмоции и ощущения.6. Шестой и седьмой модули были посвящены обработке фотографий в программах Lightroom, Capture One и Photoshop.Я никогда раньше не обрабатывала фотографии. Я даже не знала, что после съёмки можно поменять баланс белого или контраст. Максимум что я могла сделать это перевести фото из цветного в черно-белое.Поэтому эти модули были для меня тоже очень полезные и интересные.Но к этому моменту у меня уже было очень много съёмок.И я бы хотела научиться обрабатывать фотографии в самом начале обучения. Тогда можно было бы отдавать уже готовые фотографии. Так все это время я отдавала только исходники без ретуши и обработки.7. И последний восьмой модуль был посвящён продвижению фотографа. К сожалению здесь тоже были только видеолекции и не было живого общения с преподавателем. И не было обратной связи по оформлению сайта и портфолио.А обратная связь - это самое важное при обучении.8. И в конце нас ждал бонус - дипломный проект.У меня идея дипломного проекта заключалась в том, чтобы сделать костюмировнанную лавстори по мотивам Романа Джейн Остин ""Гордость и предубеждение"".Было несколько съёмочных дней. Для проведения съёмки мы взяли напрокат исторические костюмы, подготовили очень много реквизита: веер, зонтик, письмо, сургучная печать, чернильница.Все было продумано до мелочей.В итоге получилась очень красивая лавтрои по мотивам Романа Джейн Остин ""Гордость и предубеждение"".И самое главное - я защитила диплом!Если Вам нравится фотографировать и Вы хотите научиться делать это профессиональной, курс Фотограф от онлайн школы Нетолгия - это отличная возможность.Для меня это было не просто обучение, а путешествие в мир фотографии!Большое спасибо моим преподавателям Екатерине Разиной и Юрию Бессудному и координатору курса Екатерине Степановой за такое интересное обучение!",формат обучения,В целом мне понравился,Структура курса,положительная,https://www.sravni.ru/shkola/netologiya/otzyvy/983633/
1,"Всем привет!Стать фотографом - это моя детская мечта.Мне всегда очень нравилось фотографировать. Но к сожалению у меня не было фотоаппарата. Я не знала, что такое глубина резкости, исо, выдержка, диафрагма.И вот однажды я поняла, что мечты должны исполняться.Я купила фотоаппарат. Мой первый фотоаппарат Canon EOS RP.Но я поняла, что без помощи профессионалов я не смогу разобраться в настройках фотоаппарата. Всё очень сложно. Поэтому решила записаться на обучение.Первый онлайн курс, который мне попался в интернете - курс Фотограф от онлайн школы Нетология.Скажу честно, я никогда раньше не слышала про эту школу. Но на сайте было написано, у школы есть лицензия и после обучения я получу диплом о профессиональной переподготовке.Поэтому решила рискнуть.Обучение в Нетологии проходит в онлайн формате. Это видеолекции, живые вебинары с преподавателем, разборы самостоятельных работ.В целом мне понравился такой формат обучения. Это удобно. Ты получаешь обратную связь от преподавателя с разбором своих ошибок.Но давайте обо всем по порядку.Курс Фотограф состоит из восьми модулей . Получить доступ к следующему модулю Вы можете только после того, как выполните итоговое домашнее задание и получите зачёт.На мой взгляд это минус, потому что в начале обучения хочешь все и сразу!Итак, рассказываю по порядку:1. Первый модуль посвящён настройкам камеры. Занятия проводит очень талантливый Фотограф Екатерина Разина.Уже на первом вэбинаре Екатерина Разина по полочкам рассказала все, что необходимо знать про настройки камеры, экспозицию, глубину резкости.После каждого занятия мы получали самостоятельные задания.В конце каждого модуля у нас был воркшоп - разбор самостоятельных работ, где преподаватель разбирал наши фотографии, говорил какие есть ошибки и как их исправить. А после после воркшопа была модульная работа.2. Второй модуль был посвящён основным приёмам композиции. Преподаватель Олег Цербаев.Несмотря на то что в этом модуле было очень много важной и полезной информации для меня это была одна из самых неинтересных тем за весь период обучения.Почему? Потому что весть учебный материал был в формате видеолекций. Не было живого общения с преподавателем. А смотреть два часа видеолекцию по основам композиции просто скучно.Кроме этого мне три раза возвращали на доработку модульную работу по композиции. Обидно? Конечно! В какой -то момент я даже хотела написать заявление и отказаться от обучения.Но очень рада, что все-таки решила закончить обучение.Модульную работу по композиции в итоге приняли с четвёртого раза!3. Третий модуль был посвящён работе с постоянным светом. Преподаватель Фотограф Юрий Бессуднов.Здесь я узнала, что свет бывает мягкий и жёсткий, постоянный и импульсный. Вы это знаете? Я не знала.А ещё свет бывает рисующий, моделирующий, заполняющий, фоновый, контровой. Для фотографа это база. Это как таблица умножения. Для человека, который никогда раньше не занимался фотографией это было открытие!Кстати по третьему модулю модульную работу приняли с первого раза без замечаний. Приятно!4. Четвёртый модуль для меня был самым интересным. Он был посвящён работе с импульсным светом.Как я уже рассказала раньше свет бывает постоянный и импульсный.Импульсный свет - это вспышки, которые есть в фотостудии.Не умеешь работать с импульсным светом - не сможешь снимать в студии.В четвёртом модуле Юрий Бессуднов очень подробно рассказывает какие есть импульсные источники света, как с ними работать. Какие есть схемы света. Какую схему использовать в разных ситуациях. Например при съёмке бизнес портрета, бьюти съёмка, съёмка для каталога, творческие съёмки с дымом и с цветными фильтрамиПосле четвёртого модуля у нас было задание сделать съёмку в студии с разными схемами света.И ура! Тоже зачёт с первого раза!После четвёртого модуля у нас была онлайн практика в студии с преподавателем и профессиональной моделью.Для меня это был самый важный и очень интересный этап обучения. За три часа мы отработали разные схемы света и сделали очень много крутых фотографий! Это был очень полезный опыт! Обязательно рекомендую выбирать курс с оффлайн практикой.5. Пятый модуль был посвящён разным жанрам фотографии.Здесь я узнала, что кроме портрета и уличной фотографии есть много других жанров.Например репортаж, пейзажная фотография, свадебная фотография!Я первый раз попробовала снимать футбол и хоккей! И это невероятно круто! Бешеная скорость, эмоции, слезы радости! Забитый гол!И наоборот - съёмка пейзажа. Длинная выдержка. Красивое место. Возможно съёмка на закате или на рассвете. Совсем другие эмоции и ощущения.6. Шестой и седьмой модули были посвящены обработке фотографий в программах Lightroom, Capture One и Photoshop.Я никогда раньше не обрабатывала фотографии. Я даже не знала, что после съёмки можно поменять баланс белого или контраст. Максимум что я могла сделать это перевести фото из цветного в черно-белое.Поэтому эти модули были для меня тоже очень полезные и интересные.Но к этому моменту у меня уже было очень много съёмок.И я бы хотела научиться обрабатывать фотографии в самом начале обучения. Тогда можно было бы отдавать уже готовые фотографии. Так все это время я отдавала только исходники без ретуши и обработки.7. И последний восьмой модуль был посвящён продвижению фотографа. К сожалению здесь тоже были только видеолекции и не было живого общения с преподавателем. И не было обратной связи по оформлению сайта и портфолио.А обратная связь - это самое важное при обучении.8. И в конце нас ждал бонус - дипломный проект.У меня идея дипломного проекта заключалась в том, чтобы сделать костюмировнанную лавстори по мотивам Романа Джейн Остин ""Гордость и предубеждение"".Было несколько съёмочных дней. Для проведения съёмки мы взяли напрокат исторические костюмы, подготовили очень много реквизита: веер, зонтик, письмо, сургучная печать, чернильница.Все было продумано до мелочей.В итоге получилась очень красивая лавтрои по мотивам Романа Джейн Остин ""Гордость и предубеждение"".И самое главное - я защитила диплом!Если Вам нравится фотографировать и Вы хотите научиться делать это профессиональной, курс Фотограф от онлайн школы Нетолгия - это отличная возможность.Для меня это было не просто обучение, а путешествие в мир фотографии!Большое спасибо моим преподавателям Екатерине Разиной и Юрию Бессудному и координатору курса Екатерине Степановой за такое интересное обучение!",формат обучения,удобно,Структура курса,положительная,https://www.sravni.ru/shkola/netologiya/otzyvy/983633/
1,"Всем привет!Стать фотографом - это моя детская мечта.Мне всегда очень нравилось фотографировать. Но к сожалению у меня не было фотоаппарата. Я не знала, что такое глубина резкости, исо, выдержка, диафрагма.И вот однажды я поняла, что мечты должны исполняться.Я купила фотоаппарат. Мой первый фотоаппарат Canon EOS RP.Но я поняла, что без помощи профессионалов я не смогу разобраться в настройках фотоаппарата. Всё очень сложно. Поэтому решила записаться на обучение.Первый онлайн курс, который мне попался в интернете - курс Фотограф от онлайн школы Нетология.Скажу честно, я никогда раньше не слышала про эту школу. Но на сайте было написано, у школы есть лицензия и после обучения я получу диплом о профессиональной переподготовке.Поэтому решила рискнуть.Обучение в Нетологии проходит в онлайн формате. Это видеолекции, живые вебинары с преподавателем, разборы самостоятельных работ.В целом мне понравился такой формат обучения. Это удобно. Ты получаешь обратную связь от преподавателя с разбором своих ошибок.Но давайте обо всем по порядку.Курс Фотограф состоит из восьми модулей . Получить доступ к следующему модулю Вы можете только после того, как выполните итоговое домашнее задание и получите зачёт.На мой взгляд это минус, потому что в начале обучения хочешь все и сразу!Итак, рассказываю по порядку:1. Первый модуль посвящён настройкам камеры. Занятия проводит очень талантливый Фотограф Екатерина Разина.Уже на первом вэбинаре Екатерина Разина по полочкам рассказала все, что необходимо знать про настройки камеры, экспозицию, глубину резкости.После каждого занятия мы получали самостоятельные задания.В конце каждого модуля у нас был воркшоп - разбор самостоятельных работ, где преподаватель разбирал наши фотографии, говорил какие есть ошибки и как их исправить. А после после воркшопа была модульная работа.2. Второй модуль был посвящён основным приёмам композиции. Преподаватель Олег Цербаев.Несмотря на то что в этом модуле было очень много важной и полезной информации для меня это была одна из самых неинтересных тем за весь период обучения.Почему? Потому что весть учебный материал был в формате видеолекций. Не было живого общения с преподавателем. А смотреть два часа видеолекцию по основам композиции просто скучно.Кроме этого мне три раза возвращали на доработку модульную работу по композиции. Обидно? Конечно! В какой -то момент я даже хотела написать заявление и отказаться от обучения.Но очень рада, что все-таки решила закончить обучение.Модульную работу по композиции в итоге приняли с четвёртого раза!3. Третий модуль был посвящён работе с постоянным светом. Преподаватель Фотограф Юрий Бессуднов.Здесь я узнала, что свет бывает мягкий и жёсткий, постоянный и импульсный. Вы это знаете? Я не знала.А ещё свет бывает рисующий, моделирующий, заполняющий, фоновый, контровой. Для фотографа это база. Это как таблица умножения. Для человека, который никогда раньше не занимался фотографией это было открытие!Кстати по третьему модулю модульную работу приняли с первого раза без замечаний. Приятно!4. Четвёртый модуль для меня был самым интересным. Он был посвящён работе с импульсным светом.Как я уже рассказала раньше свет бывает постоянный и импульсный.Импульсный свет - это вспышки, которые есть в фотостудии.Не умеешь работать с импульсным светом - не сможешь снимать в студии.В четвёртом модуле Юрий Бессуднов очень подробно рассказывает какие есть импульсные источники света, как с ними работать. Какие есть схемы света. Какую схему использовать в разных ситуациях. Например при съёмке бизнес портрета, бьюти съёмка, съёмка для каталога, творческие съёмки с дымом и с цветными фильтрамиПосле четвёртого модуля у нас было задание сделать съёмку в студии с разными схемами света.И ура! Тоже зачёт с первого раза!После четвёртого модуля у нас была онлайн практика в студии с преподавателем и профессиональной моделью.Для меня это был самый важный и очень интересный этап обучения. За три часа мы отработали разные схемы света и сделали очень много крутых фотографий! Это был очень полезный опыт! Обязательно рекомендую выбирать курс с оффлайн практикой.5. Пятый модуль был посвящён разным жанрам фотографии.Здесь я узнала, что кроме портрета и уличной фотографии есть много других жанров.Например репортаж, пейзажная фотография, свадебная фотография!Я первый раз попробовала снимать футбол и хоккей! И это невероятно круто! Бешеная скорость, эмоции, слезы радости! Забитый гол!И наоборот - съёмка пейзажа. Длинная выдержка. Красивое место. Возможно съёмка на закате или на рассвете. Совсем другие эмоции и ощущения.6. Шестой и седьмой модули были посвящены обработке фотографий в программах Lightroom, Capture One и Photoshop.Я никогда раньше не обрабатывала фотографии. Я даже не знала, что после съёмки можно поменять баланс белого или контраст. Максимум что я могла сделать это перевести фото из цветного в черно-белое.Поэтому эти модули были для меня тоже очень полезные и интересные.Но к этому моменту у меня уже было очень много съёмок.И я бы хотела научиться обрабатывать фотографии в самом начале обучения. Тогда можно было бы отдавать уже готовые фотографии. Так все это время я отдавала только исходники без ретуши и обработки.7. И последний восьмой модуль был посвящён продвижению фотографа. К сожалению здесь тоже были только видеолекции и не было живого общения с преподавателем. И не было обратной связи по оформлению сайта и портфолио.А обратная связь - это самое важное при обучении.8. И в конце нас ждал бонус - дипломный проект.У меня идея дипломного проекта заключалась в том, чтобы сделать костюмировнанную лавстори по мотивам Романа Джейн Остин ""Гордость и предубеждение"".Было несколько съёмочных дней. Для проведения съёмки мы взяли напрокат исторические костюмы, подготовили очень много реквизита: веер, зонтик, письмо, сургучная печать, чернильница.Все было продумано до мелочей.В итоге получилась очень красивая лавтрои по мотивам Романа Джейн Остин ""Гордость и предубеждение"".И самое главное - я защитила диплом!Если Вам нравится фотографировать и Вы хотите научиться делать это профессиональной, курс Фотограф от онлайн школы Нетолгия - это отличная возможность.Для меня это было не просто обучение, а путешествие в мир фотографии!Большое спасибо моим преподавателям Екатерине Разиной и Юрию Бессудному и координатору курса Екатерине Степановой за такое интересное обучение!",обратную связь от преподавателя,получаешь,Преподаватели,положительная,https://www.sravni.ru/shkola/netologiya/otzyvy/983633/
1,"Всем привет!Стать фотографом - это моя детская мечта.Мне всегда очень нравилось фотографировать. Но к сожалению у меня не было фотоаппарата. Я не знала, что такое глубина резкости, исо, выдержка, диафрагма.И вот однажды я поняла, что мечты должны исполняться.Я купила фотоаппарат. Мой первый фотоаппарат Canon EOS RP.Но я поняла, что без помощи профессионалов я не смогу разобраться в настройках фотоаппарата. Всё очень сложно. Поэтому решила записаться на обучение.Первый онлайн курс, который мне попался в интернете - курс Фотограф от онлайн школы Нетология.Скажу честно, я никогда раньше не слышала про эту школу. Но на сайте было написано, у школы есть лицензия и после обучения я получу диплом о профессиональной переподготовке.Поэтому решила рискнуть.Обучение в Нетологии проходит в онлайн формате. Это видеолекции, живые вебинары с преподавателем, разборы самостоятельных работ.В целом мне понравился такой формат обучения. Это удобно. Ты получаешь обратную связь от преподавателя с разбором своих ошибок.Но давайте обо всем по порядку.Курс Фотограф состоит из восьми модулей . Получить доступ к следующему модулю Вы можете только после того, как выполните итоговое домашнее задание и получите зачёт.На мой взгляд это минус, потому что в начале обучения хочешь все и сразу!Итак, рассказываю по порядку:1. Первый модуль посвящён настройкам камеры. Занятия проводит очень талантливый Фотограф Екатерина Разина.Уже на первом вэбинаре Екатерина Разина по полочкам рассказала все, что необходимо знать про настройки камеры, экспозицию, глубину резкости.После каждого занятия мы получали самостоятельные задания.В конце каждого модуля у нас был воркшоп - разбор самостоятельных работ, где преподаватель разбирал наши фотографии, говорил какие есть ошибки и как их исправить. А после после воркшопа была модульная работа.2. Второй модуль был посвящён основным приёмам композиции. Преподаватель Олег Цербаев.Несмотря на то что в этом модуле было очень много важной и полезной информации для меня это была одна из самых неинтересных тем за весь период обучения.Почему? Потому что весть учебный материал был в формате видеолекций. Не было живого общения с преподавателем. А смотреть два часа видеолекцию по основам композиции просто скучно.Кроме этого мне три раза возвращали на доработку модульную работу по композиции. Обидно? Конечно! В какой -то момент я даже хотела написать заявление и отказаться от обучения.Но очень рада, что все-таки решила закончить обучение.Модульную работу по композиции в итоге приняли с четвёртого раза!3. Третий модуль был посвящён работе с постоянным светом. Преподаватель Фотограф Юрий Бессуднов.Здесь я узнала, что свет бывает мягкий и жёсткий, постоянный и импульсный. Вы это знаете? Я не знала.А ещё свет бывает рисующий, моделирующий, заполняющий, фоновый, контровой. Для фотографа это база. Это как таблица умножения. Для человека, который никогда раньше не занимался фотографией это было открытие!Кстати по третьему модулю модульную работу приняли с первого раза без замечаний. Приятно!4. Четвёртый модуль для меня был самым интересным. Он был посвящён работе с импульсным светом.Как я уже рассказала раньше свет бывает постоянный и импульсный.Импульсный свет - это вспышки, которые есть в фотостудии.Не умеешь работать с импульсным светом - не сможешь снимать в студии.В четвёртом модуле Юрий Бессуднов очень подробно рассказывает какие есть импульсные источники света, как с ними работать. Какие есть схемы света. Какую схему использовать в разных ситуациях. Например при съёмке бизнес портрета, бьюти съёмка, съёмка для каталога, творческие съёмки с дымом и с цветными фильтрамиПосле четвёртого модуля у нас было задание сделать съёмку в студии с разными схемами света.И ура! Тоже зачёт с первого раза!После четвёртого модуля у нас была онлайн практика в студии с преподавателем и профессиональной моделью.Для меня это был самый важный и очень интересный этап обучения. За три часа мы отработали разные схемы света и сделали очень много крутых фотографий! Это был очень полезный опыт! Обязательно рекомендую выбирать курс с оффлайн практикой.5. Пятый модуль был посвящён разным жанрам фотографии.Здесь я узнала, что кроме портрета и уличной фотографии есть много других жанров.Например репортаж, пейзажная фотография, свадебная фотография!Я первый раз попробовала снимать футбол и хоккей! И это невероятно круто! Бешеная скорость, эмоции, слезы радости! Забитый гол!И наоборот - съёмка пейзажа. Длинная выдержка. Красивое место. Возможно съёмка на закате или на рассвете. Совсем другие эмоции и ощущения.6. Шестой и седьмой модули были посвящены обработке фотографий в программах Lightroom, Capture One и Photoshop.Я никогда раньше не обрабатывала фотографии. Я даже не знала, что после съёмки можно поменять баланс белого или контраст. Максимум что я могла сделать это перевести фото из цветного в черно-белое.Поэтому эти модули были для меня тоже очень полезные и интересные.Но к этому моменту у меня уже было очень много съёмок.И я бы хотела научиться обрабатывать фотографии в самом начале обучения. Тогда можно было бы отдавать уже готовые фотографии. Так все это время я отдавала только исходники без ретуши и обработки.7. И последний восьмой модуль был посвящён продвижению фотографа. К сожалению здесь тоже были только видеолекции и не было живого общения с преподавателем. И не было обратной связи по оформлению сайта и портфолио.А обратная связь - это самое важное при обучении.8. И в конце нас ждал бонус - дипломный проект.У меня идея дипломного проекта заключалась в том, чтобы сделать костюмировнанную лавстори по мотивам Романа Джейн Остин ""Гордость и предубеждение"".Было несколько съёмочных дней. Для проведения съёмки мы взяли напрокат исторические костюмы, подготовили очень много реквизита: веер, зонтик, письмо, сургучная печать, чернильница.Все было продумано до мелочей.В итоге получилась очень красивая лавтрои по мотивам Романа Джейн Остин ""Гордость и предубеждение"".И самое главное - я защитила диплом!Если Вам нравится фотографировать и Вы хотите научиться делать это профессиональной, курс Фотограф от онлайн школы Нетолгия - это отличная возможность.Для меня это было не просто обучение, а путешествие в мир фотографии!Большое спасибо моим преподавателям Екатерине Разиной и Юрию Бессудному и координатору курса Екатерине Степановой за такое интересное обучение!",обратную связь от преподавателя,с разбором своих ошибок,Преподаватели,положительная,https://www.sravni.ru/shkola/netologiya/otzyvy/983633/
